"type";"size";"price";"side";"time"
"match";0.32;261.61;"sell";"2015-08-04 21:27:16"
"match";0.2023;261.65;"sell";"2015-08-04 21:27:16"
"match";0.2677;261.71;"sell";"2015-08-04 21:27:16"
"match";0.15;261.19;"buy";"2015-08-04 21:30:54"
"match";0.27;261.56;"sell";"2015-08-04 21:33:56"
"match";0.38;261.57;"sell";"2015-08-04 21:55:05"
"match";0.13;261.57;"sell";"2015-08-04 21:57:14"
"match";0.03;261.15;"buy";"2015-08-04 22:00:24"
"match";0.07;261.14;"buy";"2015-08-04 22:00:24"
"match";0.22;261.14;"buy";"2015-08-04 22:00:27"
"match";0.032;261.52;"sell";"2015-08-04 22:05:26"
"match";0.03;261.55;"sell";"2015-08-04 22:05:26"
"match";0.308;261.56;"sell";"2015-08-04 22:05:26"
"match";0.35;261.48;"sell";"2015-08-04 22:10:13"
"match";0.145;261.48;"sell";"2015-08-04 22:10:23"
"match";0.509;261.53;"sell";"2015-08-04 22:10:23"
"match";1.386;261.64;"sell";"2015-08-04 22:10:23"
"match";0.298;261.75;"sell";"2015-08-04 22:40:54"
"match";0.01;261.82;"sell";"2015-08-04 22:40:54"
"match";0.072;261.95;"sell";"2015-08-04 22:40:54"
"match";1.0;261.76;"sell";"2015-08-04 22:46:55"
"match";0.33;261.81;"sell";"2015-08-04 22:46:55"
"match";0.55;261.85;"sell";"2015-08-04 22:46:55"
"match";0.4;261.71;"sell";"2015-08-04 22:51:07"
"match";0.5;261.75;"sell";"2015-08-04 22:51:07"
"match";8.75;261.75;"sell";"2015-08-04 22:51:07"
"match";3.97;261.78;"sell";"2015-08-04 22:51:07"
"match";6.38;261.85;"sell";"2015-08-04 22:51:07"
"match";0.4;261.69;"sell";"2015-08-04 22:51:53"
"match";1.5728;261.72;"sell";"2015-08-04 22:51:53"
"match";4.94;261.8;"sell";"2015-08-04 22:51:53"
"match";13.0872;261.83;"sell";"2015-08-04 22:51:53"
"match";0.01;261.19;"buy";"2015-08-04 22:52:21"
"match";0.11;261.19;"buy";"2015-08-04 22:52:29"
"match";0.5614;261.68;"sell";"2015-08-04 22:52:32"
"match";0.338;261.7;"sell";"2015-08-04 22:52:32"
"match";8.3462;261.8;"sell";"2015-08-04 22:52:32"
"match";3.118;261.82;"sell";"2015-08-04 22:52:32"
"match";20.7003;261.83;"sell";"2015-08-04 22:52:32"
"match";6.9361;261.84;"sell";"2015-08-04 22:52:32"
"match";0.235;261.71;"sell";"2015-08-04 22:52:59"
"match";6.146;261.78;"sell";"2015-08-04 22:52:59"
"match";0.378;261.79;"sell";"2015-08-04 22:52:59"
"match";0.34;261.89;"sell";"2015-08-04 22:52:59"
"match";0.49;261.89;"sell";"2015-08-04 22:52:59"
"match";1.13;261.93;"sell";"2015-08-04 22:52:59"
"match";0.01;261.97;"sell";"2015-08-04 22:52:59"
"match";0.632;261.98;"sell";"2015-08-04 22:52:59"
"match";10.318;262.0;"sell";"2015-08-04 22:52:59"
"match";25.57;261.83;"sell";"2015-08-04 22:56:20"
"match";0.3;261.84;"sell";"2015-08-04 22:56:20"
"match";0.13;261.81;"sell";"2015-08-04 22:57:09"
"match";5.953;261.82;"sell";"2015-08-04 22:57:09"
"match";0.368;261.84;"sell";"2015-08-04 22:57:09"
"match";0.257;261.89;"sell";"2015-08-04 22:57:09"
"match";6.253;261.88;"sell";"2015-08-04 22:58:00"
"match";6.771;261.86;"sell";"2015-08-04 22:58:19"
"match";0.9916;261.98;"sell";"2015-08-04 22:58:19"
"match";0.27;261.85;"sell";"2015-08-04 23:00:06"
"match";8.93;261.85;"sell";"2015-08-04 23:01:10"
"match";0.151;261.96;"sell";"2015-08-04 23:01:10"
"match";0.6341;261.96;"sell";"2015-08-04 23:01:10"
"match";1.046;261.99;"sell";"2015-08-04 23:01:10"
"match";9.2389;262.0;"sell";"2015-08-04 23:01:10"
"match";6.55;261.85;"sell";"2015-08-04 23:01:39"
"match";0.15;261.89;"sell";"2015-08-04 23:01:39"
"match";0.946;261.91;"sell";"2015-08-04 23:01:39"
"match";12.354;262.0;"sell";"2015-08-04 23:01:39"
"match";4.13;261.8;"sell";"2015-08-04 23:02:54"
"match";24.7;261.83;"sell";"2015-08-04 23:02:54"
"match";1.17;261.85;"sell";"2015-08-04 23:02:54"
"match";3.2;261.8;"sell";"2015-08-04 23:03:23"
"match";0.4;261.81;"sell";"2015-08-04 23:03:23"
"match";26.4;261.84;"sell";"2015-08-04 23:03:23"
"match";0.1548;261.77;"sell";"2015-08-04 23:05:09"
"match";0.044;261.78;"sell";"2015-08-04 23:05:09"
"match";0.17;261.84;"sell";"2015-08-04 23:05:09"
"match";47.042;261.84;"sell";"2015-08-04 23:05:09"
"match";0.1;261.87;"sell";"2015-08-04 23:05:09"
"match";0.5311;261.9;"sell";"2015-08-04 23:05:09"
"match";0.246;261.92;"sell";"2015-08-04 23:05:09"
"match";0.17;261.9;"sell";"2015-08-04 23:05:50"
"match";0.3;262.03;"sell";"2015-08-04 23:05:50"
"match";0.09;262.06;"sell";"2015-08-04 23:05:50"
"match";0.453;261.9;"sell";"2015-08-04 23:05:54"
"match";1.26;261.83;"sell";"2015-08-04 23:07:04"
